doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
127,0.003,0.004,0.032,0.003,0.012,0.003,0.003,0,0.007,0,0.008,0.01,0.007,0,0.003,0.005,0.003,0.003,0.027,0.009,0.003,0.004,
128,0.003,0.004,0.029,0.003,0.005,0.003,0.003,0.003,0.002,0,0.005,0.008,0.004,0,0.003,0.005,0.003,0.005,0.022,0.01,0.003,0.007,
129,0.003,0.004,0.029,0.003,0.005,0.003,0.003,0.005,0.003,0,0.006,0.008,0,0,0.003,0.003,0.003,0.005,0.022,0.008,0.003,0.003,
130,0.008,0.005,0.027,0.003,0.005,0,0.003,0.008,0.003,0,0.008,0.009,0,0,0.003,0.003,0.003,0.003,0.024,0.008,0.003,0.003,
131,0.01,0.003,0.027,0.003,0.005,0.003,0.003,0.008,0.003,0,0.007,0.014,0.003,0,0.003,0.003,0.003,0,0.019,0.005,0.003,0.003,
132,0.013,0.003,0.022,0.003,0.005,0,0,0.005,0.008,0,0.009,0.008,0.003,0,0.003,0.003,0,0.003,0.017,0.009,0,0.003,
133,0.01,0.004,0.022,0.003,0.005,0.003,0,0,0.005,0,0.019,0.01,0,0,0.003,0,0.003,0,0.019,0.005,0.003,0.004,
134,0.003,0.014,0.022,0.003,0.003,0,0,0,0.003,0,0.016,0.008,0,0,0.003,0,0,0,0.019,0.003,0.003,0.003,
135,0,0.01,0.01,0.003,0.003,0,0,0,0.003,0,0.009,0.005,0.001,0,0.003,0,0.003,0,0.012,0.003,0.003,0.003,
136,0,0.01,0.012,0.003,0.003,0,0,0,0.005,0,0.007,0.003,0.001,0,0.003,0,0.003,0,0.014,0.003,0,0.003,
137,0,0.005,0.009,0.003,0.003,0,0,0,0.003,0,0.002,0.003,0.003,0,0.003,0,0,0,0.012,0.003,0,0.003,
138,0,0.003,0.009,0.003,0.005,0,0,0,0.005,0,0.003,0.003,0.003,0,0.003,0,0.003,0,0.005,0.004,0,0.003,
139,0,0.003,0.014,0.003,0.003,0,0,0,0.004,0,0.003,0.003,0.003,0,0.003,0,0.003,0,0.007,0.003,0.003,0.003,
140,0,0.003,0.012,0.003,0.003,0,0,0,0.003,0,0.003,0.003,0.005,0,0.003,0,0.003,0,0.003,0.003,0,0.003,
141,0,0.003,0.003,0.003,0.003,0,0,0,0.004,0,0.003,0.003,0.003,0,0.003,0,0.003,0,0.008,0.003,0,0.003,
142,0,0.003,0.003,0.003,0,0,0,0,0.003,0,0.003,0.003,0.003,0,0.003,0,0.003,0,0.003,0.003,0,0.003,
143,0,0.003,0.004,0.003,0.003,0,0,0,0.004,0,0.003,0.004,0.003,0,0.003,0,0,0,0.003,0.003,0,0.003,
144,0,0.003,0.005,0.003,0.003,0,0,0,0.003,0,0.003,0,0.003,0,0,0,0,0,0.003,0.003,0,0.003,
145,0,0.003,0.005,0.003,0.003,0,0,0,0.003,0,0.003,0.003,0.003,0,0,0,0,0,0.003,0.008,0,0.003,
146,0,0.003,0.003,0.003,0.003,0,0,0,0.003,0,0.003,0.003,0.003,0,0,0,0,0,0.003,0.009,0,0,
147,0,0.003,0.005,0.003,0.003,0,0,0,0.003,0,0.003,0.003,0.003,0,0,0,0,0,0.003,0.003,0,0.003,
148,0,0,0.004,0.003,0.003,0,0,0,0.003,0,0.003,0.003,0.003,0,0,0,0,0,0.003,0.003,0,0,
149,0,0.003,0.003,0,0.003,0,0,0,0.008,0,0.003,0.003,0.003,0.003,0,0,0,0,0.003,0.003,0,0,
150,0,0,0.003,0,0.003,0,0,0,0.003,0,0.003,0.003,0.003,0,0,0,0,0,0.003,0,0,0,
151,0,0,0.003,0,0.003,0,0,0,0.003,0,0.003,0,0.005,0,0,0,0,0,0.003,0.003,0,0,
152,0,0,0.003,0,0.003,0.003,0,0,0.003,0,0,0.003,0.003,0,0,0,0,0,0.003,0.003,0,0,
153,0,0,0.003,0.003,0.003,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,
154,0,0.003,0.003,0,0,0,0,0,0,0,0.003,0.003,0.003,0,0,0,0,0,0.003,0.005,0,0,
155,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,
156,0,0,0.003,0,0.015,0,0,0,0,0,0.003,0,0.003,0,0,0,0,0,0.003,0.003,0,0,
