doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
111,0,0.095,0.253,0,0,0,0.079,0,0.356,0,0,0.428,0.079,0,0,0,0,0,0.658,0.079,0,0.428,
112,0,0.095,0.164,0,0,0,0.079,0,0.163,0,0,0.301,0.079,0,0.265,0,0,0,0.597,0.079,0,0.356,
113,0,0.095,0.164,0,0,0,0.079,0,0.163,0,0,0.356,0.079,0,0.597,0,0,0,0.597,0,0,0.332,
114,0,0.085,0.304,0,0,0,0.079,0,0.163,0,0,0.356,0.079,0,0.597,0,0,0,0.597,0.079,0,0.079,
115,0,0,0.269,0,0,0,0,0,0.163,0,0,0.356,0.079,0,0.597,0,0,0,0.597,0.079,0,0.259,
116,0,0,0.287,0,0,0,0,0,0.079,0,0,0.428,0.079,0,0.356,0,0,0,0.597,0.079,0,0.079,
117,0,0,0.287,0,0,0,0,0,0.079,0,0,0.428,0,0,0.272,0,0,0,0.428,0.079,0,0.163,
118,0,0,0.356,0,0,0,0,0,0.079,0,0,0.428,0.079,0,0,0,0,0,0.356,0.079,0,0.079,
119,0,0,0.356,0,0,0,0,0,0.079,0,0,0.163,0.079,0,0,0,0,0,0.297,0.079,0,0.163,
120,0,0,0.356,0,0,0,0,0,0.079,0,0,0.163,0,0,0,0,0,0,0.428,0,0,0,
121,0,0,0.356,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0.428,0,0,0,
122,0.079,0,0.428,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0.259,0,0,0,
123,0,0,0.259,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0.091,0,0,0,
124,0,0,0.356,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0.091,0,0,0,
125,0,0,0.259,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0.274,0,0,0,
126,0,0,0.259,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0.091,0,0,0,
127,0,0,0.356,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0.091,0,0,0,
128,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,
129,0,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,
130,0,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,
131,0,0,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,
133,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,
134,0,0.079,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,
135,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
