doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
116,0,0.254,0.279,0.254,0.154,0.069,0.154,0,0.254,0,0.254,0.342,0.169,0,0.342,0,0.069,0,0.342,0.254,0,0.342,
117,0,0.154,0.279,0.254,0.154,0.069,0.154,0,0.254,0,0.254,0.342,0.154,0,0.154,0,0.069,0,0.342,0.254,0,0.342,
118,0,0.069,0.342,0.254,0.154,0.069,0.154,0,0.254,0,0.171,0.342,0.254,0,0.154,0,0,0,0.342,0.254,0.069,0.342,
119,0,0.154,0.342,0.069,0.069,0.069,0.154,0,0.254,0,0,0.342,0.154,0,0.069,0,0.069,0,0.279,0.254,0,0.342,
120,0,0.069,0.342,0.069,0.069,0,0.069,0,0.342,0,0.191,0.342,0.154,0,0,0,0.069,0,0.279,0.169,0,0.342,
121,0,0.154,0.342,0.254,0.069,0,0,0,0.342,0,0.191,0.342,0.069,0,0,0,0.069,0,0.279,0.069,0,0.254,
122,0,0.069,0.342,0,0.069,0,0.069,0,0.342,0,0.154,0.342,0.069,0,0,0,0,0,0.342,0.154,0,0.186,
123,0,0.069,0.342,0,0.069,0,0,0,0.223,0,0.154,0.279,0.069,0,0.069,0,0,0,0.342,0.17,0,0,
124,0,0.069,0.342,0,0.069,0,0.069,0,0.294,0,0.069,0.342,0.069,0,0,0,0,0,0.342,0.076,0,0.254,
125,0,0,0.342,0,0.069,0,0,0,0.199,0,0.069,0.342,0.154,0,0.069,0,0,0,0.342,0,0.069,0.254,
126,0,0.069,0.254,0,0.154,0,0,0,0.099,0,0.154,0.342,0.154,0,0,0,0,0,0.342,0,0,0.254,
127,0,0,0.342,0,0.069,0,0,0,0.099,0,0.154,0.342,0.154,0,0,0,0,0,0.342,0,0,0,
128,0,0,0.342,0,0,0,0,0,0.069,0,0.154,0.101,0.069,0,0,0,0,0,0.342,0,0,0,
129,0,0,0.342,0,0.069,0,0,0,0.069,0,0.154,0.154,0,0,0,0,0,0,0.342,0,0,0,
130,0,0,0.342,0,0.069,0,0,0,0.069,0,0.069,0.258,0,0,0,0,0,0,0.342,0,0,0,
131,0,0,0.342,0,0,0,0,0,0.254,0,0,0.254,0,0,0,0,0,0,0.254,0,0,0.069,
132,0,0,0.254,0,0,0,0,0,0.169,0,0,0.254,0,0,0,0,0,0,0.342,0.069,0,0,
133,0,0,0.254,0,0,0,0,0,0.154,0,0.069,0.254,0,0,0,0,0,0,0.169,0,0,0.069,
134,0,0,0.254,0,0,0,0,0,0.069,0,0.069,0.154,0,0,0,0,0,0,0.342,0,0,0,
135,0,0,0.169,0,0,0,0,0,0,0,0.069,0.085,0,0,0,0,0,0,0.342,0,0,0.069,
136,0,0,0.154,0,0,0,0,0,0.154,0,0.069,0,0,0,0,0,0,0,0.254,0,0,0.069,
137,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0.069,0,0.069,
138,0,0,0.254,0,0,0,0,0,0.154,0,0,0.154,0,0,0,0,0,0,0.169,0,0,0,
139,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0.154,0,0,0,
140,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0.169,0,0,0,
141,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0.154,0,0,0,
142,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0.069,0,0,0,
143,0,0,0.069,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0.069,0,0,0,
144,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,
145,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,
146,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,
147,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
148,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149,0,0,0.154,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
168,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
169,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
170,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
174,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
178,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
